Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
08/07/2012,G (Feb 13),26.05,26.50,25.75,26.33,26.35,0.25,1221,0,12584
08/08/2012,G (Feb 13),26.35,26.39,25.75,26.04,26.05,-0.30,1590,0,13238
08/09/2012,G (Feb 13),26.02,26.30,25.89,26.04,26.05,0.00,1594,11,14150
08/10/2012,G (Feb 13),26.25,26.25,25.75,25.84,25.85,-0.20,1800,0,15086
08/13/2012,G (Feb 13),25.80,25.95,25.55,25.79,25.80,-0.05,2085,0,15986
08/14/2012,G (Feb 13),25.65,26.20,25.55,26.19,26.20,0.40,1692,0,16602
08/15/2012,G (Feb 13),26.15,26.26,25.80,26.14,26.15,-0.05,2524,28,17695
08/16/2012,G (Feb 13),26.02,26.35,26.00,26.07,26.10,-0.05,2269,108,18463
08/17/2012,G (Feb 13),26.35,26.40,25.95,26.03,26.05,-0.05,2463,95,19608
08/20/2012,G (Feb 13),26.00,26.50,26.00,26.45,26.45,0.40,2277,16,20841
08/21/2012,G (Feb 13),26.35,26.90,26.25,26.87,26.90,0.45,3374,0,22640
08/22/2012,G (Feb 13),26.90,27.15,26.53,26.89,26.90,0.00,4095,27,23358
08/23/2012,G (Feb 13),26.80,27.20,26.80,27.08,27.10,0.20,3201,99,23744
08/24/2012,G (Feb 13),27.20,27.35,26.72,27.05,27.05,-0.05,3855,0,24554
08/27/2012,G (Feb 13),26.90,26.95,26.60,26.70,26.75,-0.30,2544,0,24623
08/28/2012,G (Feb 13),26.70,26.94,26.53,26.79,26.80,0.05,2664,53,24440
08/29/2012,G (Feb 13),26.75,27.00,26.45,26.95,26.95,0.15,2777,56,24003
08/30/2012,G (Feb 13),27.10,27.20,26.79,27.02,27.05,0.10,3008,0,23893
08/31/2012,G (Feb 13),26.70,26.96,26.40,26.63,26.65,-0.40,2827,17,24065
09/04/2012,G (Feb 13),26.60,27.00,26.55,26.75,26.75,0.10,2813,0,24439
09/05/2012,G (Feb 13),26.77,26.85,26.10,26.33,26.35,-0.40,3038,0,25017
09/06/2012,G (Feb 13),26.05,26.10,25.20,25.32,25.35,-1.00,4595,0,26151
09/07/2012,G (Feb 13),25.15,25.15,24.60,24.81,24.80,-0.55,3645,0,27472
09/10/2012,G (Feb 13),24.70,25.25,24.60,25.07,25.10,0.30,3335,19,27713
09/11/2012,G (Feb 13),24.85,25.00,24.35,24.77,24.80,-0.30,5167,64,28463
09/12/2012,G (Feb 13),24.60,24.60,23.85,24.07,24.10,-0.70,6333,128,29108
09/13/2012,G (Feb 13),24.10,24.20,22.65,23.05,23.10,-1.00,8475,38,30828
09/14/2012,G (Feb 13),22.65,23.20,22.15,23.12,23.15,0.05,10042,32,31129
09/17/2012,G (Feb 13),23.10,23.15,22.55,22.87,22.90,-0.25,7517,0,31375
09/18/2012,G (Feb 13),22.75,23.01,22.34,22.43,22.45,-0.45,4804,0,30862
09/19/2012,G (Feb 13),22.10,22.45,21.90,22.18,22.20,-0.25,4892,0,31198
09/20/2012,G (Feb 13),22.25,22.50,22.05,22.18,22.20,0.00,3117,0,31434
09/21/2012,G (Feb 13),22.00,22.35,21.90,22.32,22.35,0.15,4556,0,31996
09/24/2012,G (Feb 13),22.35,22.35,21.80,22.14,22.15,-0.20,3364,31,32192
09/25/2012,G (Feb 13),22.01,22.60,21.68,22.38,22.40,0.25,5980,0,31591
09/26/2012,G (Feb 13),22.37,23.00,22.37,22.59,22.60,0.20,4829,150,31297
09/27/2012,G (Feb 13),22.37,22.50,21.75,22.00,22.05,-0.55,6854,0,32898
09/28/2012,G (Feb 13),22.10,22.35,21.95,22.18,22.15,0.10,4395,92,32533
10/01/2012,G (Feb 13),21.95,22.30,21.63,22.18,22.20,0.05,5545,50,33202
10/02/2012,G (Feb 13),21.98,22.20,21.75,22.00,22.05,-0.15,5006,0,33537
10/03/2012,G (Feb 13),22.01,22.15,21.58,21.78,21.80,-0.25,7538,0,34422
10/04/2012,G (Feb 13),21.70,21.70,21.20,21.23,21.25,-0.55,4434,45,33735
10/05/2012,G (Feb 13),21.15,21.31,20.79,21.09,21.15,-0.10,4276,0,33822
10/08/2012,G (Feb 13),21.25,21.35,21.08,21.11,21.15,0.00,3808,0,33768
10/09/2012,G (Feb 13),21.05,21.55,20.94,21.38,21.40,0.25,4279,45,33346
10/10/2012,G (Feb 13),21.30,21.65,21.24,21.53,21.55,0.15,6216,0,34703
10/11/2012,G (Feb 13),21.45,21.45,20.88,21.15,21.15,-0.40,5151,0,34801
10/12/2012,G (Feb 13),20.90,21.25,20.70,20.98,21.00,-0.15,9176,0,35987
10/15/2012,G (Feb 13),20.76,21.05,20.50,20.73,20.75,-0.25,5622,15,35924
10/16/2012,G (Feb 13),20.45,20.55,20.25,20.34,20.35,-0.40,4528,96,36287
10/17/2012,G (Feb 13),20.25,20.52,20.00,20.01,20.05,-0.30,5992,424,35821
10/18/2012,G (Feb 13),20.15,20.37,19.90,20.17,20.20,0.15,5802,0,36109
10/19/2012,G (Feb 13),20.15,21.05,20.10,20.81,20.85,0.65,9580,0,36062
10/22/2012,G (Feb 13),20.75,20.98,0.05,20.55,20.55,-0.30,7177,0,35472
10/23/2012,G (Feb 13),21.00,21.75,0.05,21.31,21.35,0.80,10182,0,34639
10/24/2012,G (Feb 13),21.25,21.28,20.85,21.02,21.05,-0.30,6986,76,33987
10/25/2012,G (Feb 13),20.75,21.25,20.63,20.86,20.90,-0.15,7909,36,33611
